month,opening,white_bucket,black_bucket,games,white_pct,black_pct,draw_pct
2013-01,Queen's Pawn Game: Zukertort Variation,1700,1700,48,35.417,50.000,14.583
2013-01,Caro-Kann Defense,1500,1400,48,66.667,31.250,2.083
2013-01,Modern Defense,1700,1700,48,54.167,41.667,4.167
2013-01,Queen's Pawn Game #2,1300,1500,48,29.167,70.833,0.000
2013-01,Philidor Defense #2,1500,1600,47,51.064,42.553,6.383
2013-01,Italian Game: Anti-Fried Liver Defense,1500,1500,47,53.191,42.553,4.255
2013-01,French Defense: Knight Variation,1800,1800,47,51.064,42.553,6.383
2013-01,Horwitz Defense,1700,1600,47,57.447,40.426,2.128
2013-01,Van't Kruijs Opening,1200,1100,47,51.064,48.936,0.000
2013-01,Sicilian Defense,1400,1600,47,25.532,74.468,0.000
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1400,1200,46,80.435,19.565,0.000
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1700,1700,46,50.000,43.478,6.522
2013-01,Sicilian Defense: Bowdler Attack,1700,1700,46,50.000,47.826,2.174
2013-01,Van't Kruijs Opening,1500,1800,46,15.217,80.435,4.348
2013-01,Modern Defense,1600,1700,46,63.043,36.957,0.000
2013-01,Sicilian Defense: Bowdler Attack,1700,1600,46,50.000,45.652,4.348
2013-01,Philidor Defense #2,1400,1300,46,65.217,34.783,0.000
2013-01,Scotch Game,1500,1400,46,58.696,36.957,4.348
2013-01,Sicilian Defense: Old Sicilian,1600,1700,46,41.304,56.522,2.174
2013-01,English Defense #2,1800,1600,46,84.783,15.217,0.000
2013-01,King's Pawn Game: Wayward Queen Attack,1600,1600,46,63.043,36.957,0.000
2013-01,King's Pawn Game: Leonardis Variation,1400,1400,46,50.000,47.826,2.174
2013-01,Scotch Game,1600,1600,45,60.000,37.778,2.222
2013-01,Philidor Defense #2,1400,1600,45,44.444,53.333,2.222
2013-01,Queen's Pawn Game: Chigorin Variation,1600,1300,45,88.889,11.111,0.000
2013-01,Four Knights Game: Italian Variation,1500,1500,45,44.444,55.556,0.000
2013-01,King's Pawn Game: Wayward Queen Attack,1200,1300,45,51.111,48.889,0.000
2013-01,Sicilian Defense,1500,1400,45,48.889,48.889,2.222
2013-01,Queen's Pawn Game #2,1500,1400,45,55.556,37.778,6.667
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1700,1500,45,84.444,15.556,0.000
2013-01,Indian Game,1500,1500,44,43.182,50.000,6.818
2013-01,Scandinavian Defense,1300,1500,44,36.364,63.636,0.000
2013-01,Queen's Pawn Game #2,1600,1500,44,68.182,27.273,4.545
2013-01,French Defense: Normal Variation,1500,1400,44,56.818,38.636,4.545
2013-01,French Defense: Knight Variation,1600,1400,44,56.818,38.636,4.545
2013-01,Caro-Kann Defense,1400,1500,44,43.182,54.545,2.273
2013-01,Philidor Defense,1600,1500,44,63.636,36.364,0.000
2013-01,Hungarian Opening,1500,1700,44,29.545,68.182,2.273
2013-01,Caro-Kann Defense,1500,1700,44,20.455,72.727,6.818
2013-01,Horwitz Defense,1800,1700,44,54.545,43.182,2.273
2013-01,Van't Kruijs Opening,1400,1700,44,22.727,72.727,4.545
2013-01,Nimzo-Larsen Attack,1500,1500,43,46.512,48.837,4.651
2013-01,Queen's Pawn Game: Zukertort Variation,1500,1500,43,46.512,46.512,6.977
2013-01,Queen's Pawn Game: Zukertort Variation,1600,1500,43,65.116,30.233,4.651
2013-01,Queen's Pawn Game: Mason Attack,1400,1500,43,41.860,58.140,0.000
2013-01,Owen Defense,1400,1300,43,60.465,39.535,0.000
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1800,1600,43,62.791,37.209,0.000
2013-01,Sicilian Defense: Bowdler Attack,1400,1700,43,20.930,74.419,4.651
2013-01,English Defense #2,1500,1400,43,67.442,30.233,2.326
2013-01,Scotch Game,1400,1400,43,48.837,46.512,4.651
2013-01,Scandinavian Defense,1600,1600,43,55.814,41.860,2.326
2013-01,Hungarian Opening,1400,1400,43,51.163,48.837,0.000
2013-01,Saragossa Opening,1600,1400,42,80.952,19.048,0.000
2013-01,King's Pawn Game: Leonardis Variation,1500,1700,42,35.714,61.905,2.381
2013-01,Mieses Opening,1600,1500,42,57.143,35.714,7.143
2013-01,Philidor Defense #2,1500,1300,42,69.048,30.952,0.000
2013-01,Sicilian Defense,1700,1700,42,50.000,42.857,7.143
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1600,1800,42,14.286,78.571,7.143
2013-01,Caro-Kann Defense,1500,1600,42,33.333,61.905,4.762
2013-01,Ruy Lopez: Steinitz Defense,1600,1500,42,57.143,40.476,2.381
2013-01,Ruy Lopez: Steinitz Defense,1500,1600,42,35.714,59.524,4.762
2013-01,Bishop's Opening,1400,1300,42,52.381,45.238,2.381
2013-01,Philidor Defense #3,1600,1400,42,69.048,28.571,2.381
2013-01,Van't Kruijs Opening,1600,1800,42,30.952,69.048,0.000
2013-01,Philidor Defense #2,1300,1400,42,42.857,54.762,2.381
2013-01,Queen's Pawn Game: Chigorin Variation,1700,1400,42,69.048,26.190,4.762
2013-01,Ruy Lopez: Steinitz Defense,1600,1700,42,33.333,66.667,0.000
2013-01,English Defense #2,1800,1500,42,85.714,14.286,0.000
2013-01,Bishop's Opening,1400,1600,42,28.571,71.429,0.000
2013-01,Queen's Pawn Game,1500,1500,42,52.381,45.238,2.381
2013-01,French Defense: Knight Variation,1500,1700,42,26.190,69.048,4.762
2013-01,Van't Kruijs Opening,1600,1400,42,73.810,21.429,4.762
2013-01,Queen's Gambit Declined,1600,1600,41,48.780,48.780,2.439
2013-01,Queen's Pawn Game #2,1600,1600,41,36.585,53.659,9.756
2013-01,Philidor Defense,1500,1500,41,41.463,56.098,2.439
2013-01,King's Pawn Game: Napoleon Attack,1400,1500,41,63.415,34.146,2.439
2013-01,Van't Kruijs Opening,1300,1700,41,21.951,78.049,0.000
2013-01,Hungarian Opening,1600,1400,41,65.854,31.707,2.439
2013-01,Sicilian Defense: McDonnell Attack,1500,1500,41,51.220,46.341,2.439
2013-01,Sicilian Defense: Old Sicilian,1700,1600,41,48.780,48.780,2.439
2013-01,King's Pawn Game: Leonardis Variation,1300,1400,41,34.146,65.854,0.000
2013-01,Sicilian Defense,1400,1400,41,56.098,39.024,4.878
2013-01,French Defense: Normal Variation,1400,1400,41,48.780,48.780,2.439
2013-01,French Defense: Knight Variation,1500,1300,41,58.537,41.463,0.000
2013-01,King's Pawn Game: Leonardis Variation,1600,1600,41,43.902,53.659,2.439
2013-01,Horwitz Defense,1500,1300,41,63.415,34.146,2.439
2013-01,Van't Kruijs Opening,1400,1200,41,73.171,19.512,7.317
2013-01,Scandinavian Defense,1600,1500,41,68.293,29.268,2.439
2013-01,Four Knights Game: Italian Variation,1400,1500,41,41.463,53.659,4.878
2013-01,Italian Game: Anti-Fried Liver Defense,1600,1600,41,39.024,56.098,4.878
2013-01,Queen's Pawn,1500,1500,41,73.171,26.829,0.000
2013-01,Horwitz Defense,1500,1600,41,39.024,56.098,4.878
2013-01,Rat Defense: Small Center Defense,1500,1400,40,67.500,30.000,2.500
2013-01,French Defense: Exchange Variation,1700,1800,40,37.500,55.000,7.500
2013-01,Modern Defense,1800,1700,40,57.500,35.000,7.500
2013-01,Vienna Game,1500,1500,40,52.500,45.000,2.500
2013-01,Queen's Pawn Game #2,1400,1600,40,27.500,72.500,0.000
2013-01,French Defense: Knight Variation,1900,1800,40,50.000,45.000,5.000
2013-01,Sicilian Defense: McDonnell Attack,1600,1600,40,45.000,55.000,0.000
2013-01,Queen's Gambit Accepted: Old Variation,1500,1500,40,55.000,40.000,5.000
2013-01,Van't Kruijs Opening,1300,1100,40,72.500,22.500,5.000
2013-01,Bishop's Opening,1700,1600,40,52.500,47.500,0.000
2013-01,Sicilian Defense: Bowdler Attack,1300,1500,40,42.500,55.000,2.500
2013-01,Horwitz Defense,1800,1600,40,75.000,22.500,2.500
2013-01,Van't Kruijs Opening,1100,1500,40,25.000,75.000,0.000
2013-01,Queen's Pawn Game,1500,1600,39,38.462,58.974,2.564
2013-01,Modern Defense,1300,1500,39,35.897,58.974,5.128
2013-01,French Defense: Knight Variation,1600,1800,39,17.949,79.487,2.564
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1600,1700,39,41.026,58.974,0.000
2013-01,Ruy Lopez: Steinitz Defense,1500,1400,39,61.538,33.333,5.128
2013-01,King's Pawn Game: Wayward Queen Attack,1500,1300,39,66.667,33.333,0.000
2013-01,Owen Defense,1500,1300,39,64.103,33.333,2.564
2013-01,Scandinavian Defense,1600,1700,39,56.410,43.590,0.000
2013-01,Modern Defense,1600,1400,39,56.410,38.462,5.128
2013-01,King's Pawn Game: Wayward Queen Attack,1400,1300,39,48.718,51.282,0.000
2013-01,English Defense #2,1700,1700,38,57.895,39.474,2.632
2013-01,Bishop's Opening: Berlin Defense,1600,1600,38,55.263,39.474,5.263
2013-01,French Defense: Knight Variation,1700,1800,38,28.947,65.789,5.263
2013-01,Horwitz Defense,1600,1300,38,81.579,18.421,0.000
2013-01,English Defense #2,1400,1600,38,28.947,65.789,5.263
2013-01,Italian Game: Anti-Fried Liver Defense,1700,1500,38,63.158,28.947,7.895
2013-01,King's Pawn Game: Wayward Queen Attack,1200,1400,38,26.316,71.053,2.632
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1300,1300,38,57.895,39.474,2.632
2013-01,French Defense: Normal Variation,1600,1500,38,63.158,36.842,0.000
2013-01,Scandinavian Defense,1200,1200,38,31.579,63.158,5.263
2013-01,Three Knights Opening,1400,1400,38,44.737,52.632,2.632
2013-01,French Defense: Knight Variation,1700,1500,38,78.947,18.421,2.632
2013-01,Italian Game,1500,1400,37,56.757,40.541,2.703
